termin_input;termin_eng;termin_explanation;photo_norm;photo_real
(инициация) ингрессивная;(airstream mechanism) ingressive;всасывание потока воздуха;;
(инициация) легочная;(airstream mechanism) pulmonic;говорение на выдохе;;
(инициация) нелегочная;(airstream mechanism) nonpulmonic;эйективы, имплозивные, кликсы;;
(инициация) эгрессивная;(airstream mechanism) egressive;Поток воздуха, направленный наружу.;;
МФА;IPA;International phonetic alphabet, Международный фонетический алфавит;;
альвеоло-палатальные;alveolo-palatal;палатализованные постальвеолярные;;
альвеолярные;alveolar;Альвеолярные согласные образуются в области альвеол, причём различаются согласные, образующиеся соприкосновением с альвеолами кончика языка (апикальные) и его лопатки (ламинальные).;;
альвеолярный гребень;alveolar ridge;;alvridge.png;alvridge.png
апикальные;apical;Звуки, которые артикулируются кончиком языка.;;
аппроксимант;approximant;При артикуляции аппроксимантов формируется настолько незначительное сужение, что шум образуется только при отсутствии голоса. Примером таких звуков могут служить английские [j], [r], [w], русский [и] (например, в сло ве дай).;;
артикуляция;articulation;придание речевому тракту конфигурации;;
аффриката;affricate;Аффрикаты — (от лат. affrico — притираю) согласные, состоящие из взрывного (смычного) и фрикативного (щелевого) элементов.;;
боковой;lateral;Согласный, у которого есть смычка и воздух проходит по бокам, если воздух проходит через небольшие щели с шумом – это латеральный фрикативный (lateral fricative). Если воздух проходит через щели побольше без шума, – это латеральный аппроксимант (lateral approximant).;;
веляризованный;velarized;Веляризация — дополнительная артикуляция, при которой задняя часть спинки языка приближается к мягкому нёбу. Звук, артикулируемый с веляризацией, называется веляризованным.;;
велярная (инициация);velaric;Велярное всасывание (кликсы), Образуется некоторая смычка, и образуется некоторое пространство между пассивным и активным артикулятором. В результате два артикулятора соединяются, и после этого один начинает двигаться. Потом центральная часть языка или губы отодвигается, и в результате образуется некоторый воздух между двумя, пассивным и активным, артикуляторами. После этого, когда артикуляторы размыкаются, воздух должен попасть в место, в котором его не хватает (в котором был разрежен воздух).;;
велярные;velar;Задненебные согласные, у которых основная артикуляция — веляризация.;;
верхний подъём;high height;Основная характеристика гласных верхнего подъема — положение языка, максимально приближенное к верхнему нёбу.;;
взрывной;plosive;Взрывные согласные — смычные согласные, при артикуляции которых нёбная занавеска поднята, и воздух проходит в ротовую полость, а размыкание смычки происходит резко и напоминает взрыв.;;
вибрант;trill;Дрожащие, или вибранты, для которых характерно чередование очень кратких смычек или сужений с вокальными элементами (например, [р]);;
вокалическое пространство;vocal space;пространство гласных;;
время задержки фонации;voice onset time, VOT;Промежуток времени, который проходит между началом взрывного согласного и началом голоса, вибрацией голосовых складок или, согласно другим авторам, периодичностью.;;
выдержка;hold;стационарная часть (звука);;
выступ гортани;laryngeal prominence, Adam's apple;;kadyk.png;
глайд;glide;Глайд (англ. glide — «скольжение») — в фонетике: краткий, неполный, неопределённый по качеству звук, возникающий как переходный элемент в сочетании звуков, различных по месту образования. Причина возникновения глайда состоит в том, что голосовая щель остаётся открытой, в то время как органы речевого аппарата стремятся занять новое положение.;;
гласные;vowels;Звуки, которые характеризуются отсутствием преграды в речевом тракте; место артикуляции не всегда четко определено; гласные обычно образуют вершину слога.
глотка;pharynx;;pharynx.png;pharynx1.png
глоттальная;glottalic;Можно инициировать поток воздуха в верхних голосовых путях с помощью голосовых связок или голосовой щели.;;
глухой;voiceless;Глухие согласные — тип согласных, произносимых без вибрации гортани.;;
голосовая связка;vocal fold (cord);;vocalfold.png;vocalfold1.png
гортанная полость;larynx;;larynx.png;larynx1.png
гортанная смычка;glottal stop;Гортанная смычка, твёрдый приступ — глухой гортанный взрывной согласный звук, используемый во многих языках и получаемый смыканием голосовых связок, которые затем под напором воздуха резко размыкаются со взрывным звуком.;;?
грудная клетка;thorax;;thorax.png;
губно-губные;bilabial;Губно-губные согласные (билабиальные) — согласные, образуемые при активном участии и верхней, и нижней губ.;;
губные;labial;Губные согласные (лабиальные) — согласные, образованные либо при участии обеих губ (губно-губные согласные), либо нижней губой и верхними зубами (губно-зубные согласные).;;
дифтонг;diphthong;Звуки, артикуляция которых подразумевает переход от одного гласного звукотипа к другому. Обычно в составе дифтонгов один из компонентов является слоговым, а прочие — нет.;;
дифтонгоид;diphthongoid;Гласный, звучание которого неоднородно. Дифтонгоид начинается или заканчивается кратким призвуком другого гласного, обычно близкого по артикуляции; характеризуется скользящей артикуляцией, но степень скольжения в нем значительно слабее, чем, например, у дифтонгов. В нем не происходит радикального изменения качества звучания гласного, поэтому дифтонгоиды обыкновенно относят к группе монофтонгов.;
дорсальные;dorsal;Звуки, которые артикулируются телом языка (это то, что за ламиной), кончик языка при этом опущен вниз.;;
дрожащий;trill;Дрожащие, или вибранты, для которых характерно чередование очень кратких смычек или сужений с вокальными элементами (например, [р]).;;
задний ряд;back backness;Гласные, образующиеся в задней части ротовой полости.;;
закрытые;close;Часто гласные верхнего подъема называют закрытыми, поскольку во время артикуляции спинка языка как можно ближе поднимается к нёбу, а рот призакрыт.;;
звонкий;voiced;Звуки, при артикуляции которых происходит колебание голосовых связок.;;
зубные;dental;Зубные, или дентальные согласные согласные, образуемые между языком и верхним рядом зубов, например: /t/, /d/, /n/. Зубные согласные не следует путать с альвеолярными и постальвеолярными, которые образуются между языком и нёбом.;;
имплозивные;implosives;Имплозивные согласные — это глоттализованно-ингрессивные взрывные согласные. При артикуляции имплозивного согласного голосовые складки продолжают колебаться во время смычки, когда гортань опускается вместе с голосовыми связками и увеличивает тем самым полость между голосовыми связками и оральной смычкой. Если это опускание происходит слишком быстро, то давление в гортани опускается даже ниже внешнего давления, за счёт чего возрастает одновременно перепад давления в лёгких. Если давление в ротовой полости и дальше остаётся ниже внешнего давления, то при раскрытии смычки воздух входит в ротовую полость.;;
инициация;airstream mechanism;создание воздушного потока.;;
кадык;laryngeal prominence, Adam's apple;;kadyk.png;
кликсы;clicks;Щёлкающие согласные (также щёлкающие, клики или кликсы (от англ. clicks)) — сложные аффрикатоподобные звуки, состоящие из двух смычек: первичной («основа щелчка», англ. influx) и вторичной («исход щелчка», англ. efflux, accompaniment). Первая артикулируется губами или передней частью языка, вторая — спинкой языка или увулой.;;
кончик языка;apex;;apex.png;apex1.png
корень языка;tongue root;;tongueroot.png;tongueroot1.png
лабиализованный;labialized;Лабиализация — огубление, «выпячивание» губ вперёд и/или придание им округлой формы при артикуляции какого-либо звука. Это явление также называется огублённостью или округлением. В некоторых лингвистических школах огублённостью называют фонетическое явление, возникающее при артикуляции гласных, а в случае с согласными его именуют лабиализацией. В большинстве языков имеется тенденция к тому, чтобы передние гласные были неогубленными, а задние — огубленными.;;
лабиодентальные;labiodental;Губно-зубные согласные (лабиодентальные, от лат. labium (губа) + лат. dens (зуб)) — согласные, образуемые в результате разных видов контакта между нижней губой и верхними зубами. Активным речевым органом является нижняя губа, которая поднимается и соприкасается с верхними зубами.;;
ламина;lamina;;lamina.png;lamina1.png
ламинальные;laminal;Звуки, которые артикулируются ламиной, т.е. передней частью языка, которая в покое расположена под альвеолами.;;
ларингализованный;glottalized, laryngealized;Ларингализованные согласные — согласные, сформированные в верхнем горловом тракте, такие, как арабские эмфатические согласные и корейские напряжённые согласные (фаукализованный голос).;;
ларингальные;laryngeal, glottal;Ларингальные (гортанные) согласные — согласные, образуемые в горле, то есть с [h], [ɦ], и [ʔ].;;
ленис;lenis;слабые, ненапряжённые;;
межзубные;interdental или dental;Межзубные (интердентальные) согласные — согласные, произносимые при расположении кончика языка между верхними и нижними передними зубами. Они отличаются от зубных согласных тем, что при произнесении последних язык находится напротив задней поверхности верхних резцов.;;
монофтонг;monophthong;Гласный звук, не распадающийся на два элемента.;;
мягкое небо;soft palate;;ar_ap.png;in_oral_cavity.png
надгортанник;epiglottis;;epiglottis.png;epiglottis1.png
назализация;nasalization;Назализация — изменение звука, состоящее в приобретении звуком носового тембра и вызванное поднятием нёбной занавески и выходом голоса одновременно через рот и нос.;;
назализованный;nasalized;Произносимый с носовым оттенком, призвуком (о звуках речи), носовой.;;
напряжённые;tense;Напряженные гласные характеризуются максимальной степенью смещения языка из нейтрального положения (положения речевой позы). В русском языке напряженными являются ударные гласные, а ненапряженными — безударные.;;
нейтральная фонация;modal voice;Регулярные колебания голосовых связок.;;
ненапряжённые;lax;Напряженные гласные характеризуются минимальной степенью смещения языка из нейтрального положения (положения речевой позы). В русском языке напряженными являются ударные гласные, а ненапряженными — безударные.;;
